product_name,part_number,brand,category,vehicle_compatibility,material,weight_kg,price_retail,price_wholesale,stock_qty,condition,oem_number,key_features,notes,status,date_added
Filter Oli Hino Dutro,15613-LAA70,Hino,Filters,"Hino Dutro 2005-2024, Toyota Dyna HY300 2005-2024",Sintetik dengan kertas high-grade,0.3,55250,45000,45,Baru,15613-LAA70,"Filter sintetik high-quality, Kapasitas 10.000 km, Menggunakan kertas filter premium, Valve anti-drain untuk proteksi saat start, Efisiensi filtrasi 99%",Fast mover - restock setiap bulan,Draft,2025-01-15
Filter Oli Isuzu NKR,6-97247-514-0,Isuzu,Filters,"Isuzu ELF NKR66/NKR71/NLR55/NHR55 2008-2024, Isuzu NLR/NMR 2012-2024",Kertas selulosa,0.45,117890,98000,30,Baru,I6-97247-514-0,"Kertas selulosa premium, Viskositas stabil, Kapasitas 5.000-8.000 km, OEM quality, Lubrication optimal untuk mesin diesel",High demand from logistics fleets,Draft,2025-01-15
Filter Solar Hino 500,23300-EW071,Hino,Filters,"Hino 500 FM280JD/FM260/FM320 EURO 4 2016-2024",PP dengan filter element sintetik,1.2,4350000,3800000,8,Baru,23300-EW071,"Full assembly with housing, Filter element sintetik common rail compatible, Kapasitas filtrasi 5 micron, Untuk mesin J05E/J08E Euro 4",High value - check stock carefully,Draft,2025-01-15
Kampas Rem Hino Ranger,WB HO7C/EH700,Hino,Brake,"Hino Ranger FG210/FG260/FM260 HO7C/EH700 2005-2014",Campuran organik semi-metallic,2.5,195000,165000,60,Baru,WB HO7C,"Campuran semi-metallic premium, Panas rendah, Noise minimal, Wear resistance optimal, Bergaransi penuh",Dari Jepang - quality terbaik,Draft,2025-01-15
Kampas Rem Isuzu ELF,BS5027,Isuzu,Brake,"Isuzu ELF NKR71/NKR66/NHR55 2008-2020",Campuan organik dengan backing plate besi,1.8,120000,98000,40,Baru,I-BS5027,"Backing plate besi press, Friction coefficient stabil 0.35-0.45, Temperatur operasi 100-350°C, Tidak squeal",Fast seller - always stock 50+,Draft,2025-01-15
Kampas Rem Mitsubishi Canter,K-808,Mitsubishi Fuso,Brake,"Mitsubishi Canter PS125/PS135/PS136 2005-2024",Low-metallic dengan serat komposit,2.2,225000,190000,35,Baru,M-K-808,"Serat komposit asli, Heat fade resistance, Compatible dengan Rem ABS, Masa pakai 40.000-50.000 km",Popular di Sumatra,Draft,2025-01-15
Injektor Common Rail Hino,23670-E0400,Hino,Engine,"Hino 500 FM280/FM320/FJ260 EURO 4 2016-2024",Stainless steel dengan nozzle precision,0.8,2300000,1950000,5,Baru,23670-E0400,"Nozzle Denso OEM, Spray pattern precision, Opening pressure 180 bar, Compatible EURO 4 emission",Rare item - limited stock,Draft,2025-01-15
Kampas Kopling Hino 500,31250-E0751,Hino,Drivetrain,"Hino 500 FM260/FM280/FM320 2010-2024",Ceramic dengan copper woven,3.5,800000,680000,15,Baru,31250-E0751,"Ceramic compound premium, Springs heavy duty, Groove design untuk heat dissipation, Capacity 450 Nm",Heavy duty applications,Draft,2025-01-15
Alternator Hino J08E,27060-EW041,Hino,Electrical,"Hino 500 FM260/FG260 J08E 2012-2024, Hino Dutro XZU650",Aluminium housing dengan copper windings,4.2,4200000,3700000,10,Baru,27060-EW041,"Output 24V 60A, Built-in regulator IC, Compatible dengan common rail ECU, Thermal protection",Test before shipping,Draft,2025-01-15
Alternator Isuzu 4HK1,8-98092-188-0,Isuzu,Electrical,"Isuzu NLR/NMR/NPS EURO 4 4HK1 2012-2024",Aluminium housing dengan copper windings,3.8,3500000,3100000,12,Baru,I8-98092-188-0,"Output 24V 50A, Integration dengan ISUZU ECO system, Low noise design, Direct fit",High demand from construction,Draft,2025-01-15
